sein	to be	1	4fbcdbf6d4477098f28d9309170eb718	Obwohl es schwierig gewesen sein mag, hat er nie aufgegeben, weil er wusste, dass es wichtig war, stark zu sein.	Er will stark sein.
haben	to have	1	625b20898cdc0ad9def83d3f8d086fe0	Wenn ich mehr Zeit gehabt hätte, hätte ich das Buch zu Ende gelesen, das ich schon lange haben wollte.	Wir haben einen Hund.
werden	to become; will	1	529807a748f08f680964e0122b7faceb	Es wird erwartet, dass die Temperaturen in den kommenden Jahren deutlich steigen werden.	Er wird Arzt.
können	to be able to; can	1	cb70e6c9e8e7b1c4512bbba41c69a89c	Obwohl sie noch jung ist, kann sie bereits drei Sprachen sprechen, was nur wenige Menschen in ihrem Alter können.	Ich kann schwimmen.
müssen	to have to; must	1	a609d35c94293247b34ff763f5df76fe	Da der Zug bereits abgefahren war, mussten wir ein Taxi nehmen, obwohl wir das eigentlich nicht hätten müssen.	Ich muss jetzt gehen.
sollen	to be supposed to; should	1	db0ec0968e6ad98998a1ce310342b07c	Er fragte sich, ob er wirklich alles aufgeben sollte, nur weil man ihm gesagt hatte.	Du sollst mehr schlafen.
wollen	to want	1	5f52ca20781070e56a6b8f91793e432a	Obwohl alle ihn davon abrieten, wollte er unbedingt nach Australien reisen.	Ich will ein Eis.
dürfen	to be allowed to; may	1	5e9363ca523eaeaa7e747b0a6a6622fc	Die Kinder fragten, ob sie länger aufbleiben dürften, obwohl sie wussten, dass sie das normalerweise nicht dürfen.	Darf ich hier sitzen?
machen	to make; to do	1	cfba10e358aca24de1aea4eb4b0471e9	Nachdem die Hausaufgaben gemacht worden waren, durften die Kinder endlich das machen.	Ich mache meine Hausaufgaben.
gehen	to go; to walk	1	6ec1f347cc3482e880d87668a48c8a6b	Obwohl es stark regnete, beschloss sie, trotzdem zu Fuß zur Arbeit zu gehen, weil ihr Auto in der Werkstatt war.	Wir gehen in den Park.
kommen	to come	1	a168e64f3ffb77ff04b882ec22bbff70	Wenn du morgen zur Party kommen könntest, würde ich mich sehr freuen, weil alle deine Freunde auch kommen werden.	Kommst du heute?
sehen	to see	1	7f17e4134eb905fe30076186b1078245	Als wir aus dem Fenster sahen, konnten wir den wunderschönen Sonnenuntergang sehen.	Ich sehe einen Vogel.
geben	to give	1	e236a3a4277f7bafefec2225f2f46ee9	Obwohl es keine einfache Lösung zu geben schien, wurde beschlossen, den Betroffenen zusätzliche Unterstützung zu geben.	Er gibt mir das Buch.
nehmen	to take	1	91c4bf91396a36ad498edc4e29292d70	Bevor wir eine endgültige Entscheidung treffen, sollten wir uns die Zeit nehmen.	Ich nehme den Bus.
finden	to find	1	6fad90f33c53acfc3203203fbcc5cdd6	Obwohl viele Leute das Restaurant schwer zu finden scheinen, finden diejenigen, die es entdecken, hervorragendes Essen.	Ich finde meinen Schlüssel nicht.
sagen	to say; to tell	1	aeb8592e73093aaf4ef065821e1fb48b	Es wird oft gesagt, dass man die Wahrheit sagen sollte, auch wenn es schwierig ist, das Richtige zu sagen.	Was willst du sagen?
wissen	to know (a fact)	1	ea6ec600891e0725f08df6138d665ad5	Hätte ich gewusst, dass du das nicht wissen konntest, hätte ich es dir viel früher gesagt.	Ich weiß es nicht.
lassen	to let; to leave	1	45c660170e8e9a005b7e57ba8c5a5070	Er ließ sich von niemandem davon abbringen, sein Auto in der Garage stehen zu lassen, obwohl das Wetter schön war.	Lass mich in Ruhe!
stehen	to stand	1	32bcf160318ec77f1c29e77b4b390d62	Als der alte Mann aufstand, bemerkte er, dass er nicht mehr so lange stehen konnte wie früher, was ihn traurig stimmte.	Ich stehe an der Haltestelle.
denken	to think	1	a4429d83648cce85a73aab27804c255b	Wenn man bedenkt, wie schnell sich die Technologie entwickelt, muss man daran denken.	Ich denke oft an dich.
sprechen	to speak	1	edd5278911e28e9659ce53b513e25e4e	Obwohl sie noch nie zuvor öffentlich gesprochen hatte, konnte sie so überzeugend sprechen, dass alle begeistert waren.	Er spricht Deutsch.
halten	to hold; to stop	1	83c71ca458ebab9af190d4c2ce9af217	Der Redner versuchte, die Aufmerksamkeit des Publikums zu halten, indem er eine spannende Geschichte erzählte.	Halt bitte das Glas fest!
bringen	to bring	1	f561b04cce6656d8107392b3d6212177	Wenn du das nächste Mal zu Besuch kommst, könntest du mir bitte die Bücher mitbringen.	Bring mir bitte ein Glas Wasser.
leben	to live	1	c7dc704a938e13594586dad9c8bc87a0	Obwohl sie in einer kleinen Stadt aufgewachsen war, träumte sie davon, eines Tages in einer großen Stadt zu leben.	Wir leben in Berlin.
fahren	to drive; to travel	1	f547dc8a08150647805edfa195cba729	Da die Straßen wegen des Schneefalls gesperrt worden waren, mussten wir zu Hause bleiben.	Ich fahre mit dem Fahrrad.
essen	to eat	1	2f99cdee3aa3c7a283996504cc161ae3	Nachdem wir den ganzen Tag gewandert waren, wollten wir nur noch etwas Warmes essen, bevor wir ins Bett gingen.	Wir essen Pizza.
trinken	to drink	1	cb8fc7de83cea06bf550e464740b111b	Obwohl der Arzt ihm geraten hatte, mehr Wasser zu trinken, vergaß er es immer wieder, weil er so beschäftigt war.	Ich trinke gern Tee.
schreiben	to write	1	b5e39abb8e84f789d89e273d1e17347c	Nachdem der Brief geschrieben worden war, überlegte sie, ob sie noch etwas Wichtiges vergessen hatte zu schreiben.	Er schreibt einen Brief.
lesen	to read	1	a8bdb5f277137f69f47b22dea875c06b	Obwohl das Buch in einer komplizierten Sprache verfasst war, konnte sie es problemlos lesen.	Ich lese ein Buch.
spielen	to play	1	2461a388db9c217266fcfaed1d03f0ed	Die Kinder durften im Garten spielen, solange sie versprachen, leise zu sein, damit die Nachbarn nicht gestört würden.	Die Kinder spielen draußen.
der Mann	the man; husband	1	55a78ca3aea8a86b28586605bc3a0722	Der Mann, der gestern im Supermarkt neben mir stand, stellte sich als der neue Nachbar heraus.	Der Mann liest die Zeitung.
die Frau	the woman; wife	1	3d96eaa96e2bffb0edf23d9bc74485ff	Die Frau, die seit zwanzig Jahren als Ärztin gearbeitet hatte.	Die Frau trinkt Kaffee.
das Kind	the child	1	3053959a445ed7874c0ba756a6308926	Das Kind, das den ganzen Nachmittag im Regen gespielt hatte, musste sofort in trockene Kleidung gewechselt werden.	Das Kind spielt im Garten.
der Tag	the day	1	a8be533be378fa3aee0c95c0541c4c81	An dem Tag, an dem sie ihren Abschluss feierte, wusste sie, dass ein neuer Lebensabschnitt beginnen würde.	Heute ist ein schöner Tag.
die Zeit	the time	1	0f404e9608d7b57e793a0d4c53842d2f	Obwohl die Zeit knapp war, nahm sie sich die Zeit, jedem einzelnen Gast persönlich zu danken.	Ich habe keine Zeit.
das Jahr	the year	1	d19b153c3085fb635867d57a39bf4150	In diesem Jahr wurde beschlossen, dass die Firma, die bereits seit einem Jahr Verluste machte.	Dieses Jahr ist warm.
die Hand	the hand	1	99c1f1ee243916fbe3825dd2a638000f	Er streckte seine Hand aus, um dem Fremden zu helfen, obwohl er sich dabei verletzen hätte können.	Gib mir bitte deine Hand.
der Weg	the way; path	1	91f584cc105271897766f4207c6b6427	Der Weg, den wir durch den dunklen Wald nehmen mussten, war so steil.	Der Weg ist lang.
das Wort	the word	1	c28e6666809feba92675dd7fc1082ffd	Obwohl ein einziges Wort manchmal mehr sagen kann als tausend Sätze, fällt es vielen schwer.	Ich kenne dieses Wort nicht.
die Arbeit	the work; job	1	c1d26cc159d6a805a6dfe121dd009494	Die Arbeit, die im Laufe des letzten Jahres geleistet worden war, wurde von allen Beteiligten als erfolgreich bewertet.	Die Arbeit macht Spaß.
der Mensch	the human; person	1	48e928de194f7c6a19e5a385e1daf2c9	Jeder Mensch hat das Recht auf ein würdevolles Leben, unabhängig davon, woher er kommt oder welche Sprache er spricht.	Jeder Mensch ist anders.
das Leben	the life	1	43e1c220f99c6f4d7979bb06203c7cd7	Das Leben, das sie in der Großstadt führte, war völlig anders als das ruhige Leben, das sie auf dem Land gewohnt war.	Das Leben ist schön.
die Welt	the world	1	32e66a28be892d35e8234632f192fce2	In einer Welt, die sich ständig verändert, ist es wichtiger denn je, offen für neue Ideen zu bleiben.	Die Welt ist groß.
die Nacht	the night	1	7bd48536d23255fa66e3925afdcbd161	In der Nacht, als der Sturm über die Stadt hereinbrach, konnten die meisten Bewohner vor Angst nicht schlafen.	Die Nacht ist ruhig.
der Kopf	the head	1	4ce13e995f241c24f6d84f47febc1be1	Ihm schwirrten so viele Gedanken durch den Kopf, dass er sich kaum auf die Aufgabe konzentrieren konnte.	Mir tut der Kopf weh.
das Auge	the eye	1	4feab3a86945e0d1cb96704ec595e456	Als sie ihm in das Auge blickte, erkannte sie sofort, dass etwas nicht stimmte.	Sie hat ein blaues Auge.
die Stadt	the city; town	1	8d06ef2b3de8360b37ea77680dafcae6	Die Stadt, in der wir aufgewachsen sind, hat sich in den letzten Jahren so stark verändert.	Die Stadt ist sehr alt.
das Haus	the house	1	d4a38b6067419270cc64637884713fe0	Das Haus, das am Ende der Straße steht und seit Jahren leer gestanden hatte, wurde endlich renoviert und verkauft.	Das Haus ist groß.
der Freund / die Freundin	the friend; boyfriend / girlfriend	1	e27a132eea9c1bdab56d0162d5ad0532	Mein bester Freund, den ich seit der Grundschule kenne, hat mir immer geholfen, wenn ich Probleme hatte.	Mein Freund kommt heute.
die Familie	the family	1	0a73b75ab3dcd188cbcb0ca6aa08da15	Die Familie, die seit drei Generationen in diesem Dorf lebt.	Meine Familie ist klein.
der Vater	the father	1	549a966a243cd24720fbdfeee320437c	Obwohl der Vater den ganzen Tag gearbeitet hatte, nahm er sich abends immer die Zeit.	Mein Vater kocht heute.
die Mutter	the mother	1	0ed0a0d204275a4ef575ff0c760e036b	Die Mutter, die drei Kinder allein großgezogen hatte.	Meine Mutter ist nett.
der Bruder	the brother	1	cb0197fc5461362ec43bca7ab2eca1e5	Mein älterer Bruder, der bereits seit fünf Jahren im Ausland lebt, hat mir geraten.	Mein Bruder ist zehn Jahre alt.
die Schwester	the sister	1	3b5cd06a5eca39c9cb7eb57c989e2fd4	Meine Schwester, die als Krankenschwester in einem großen Krankenhaus arbeitet.	Meine Schwester singt gern.
der Sohn	the son	1	a988d5d95d9b6162ab1c614e4c8c358b	Der Sohn, auf den die Eltern so stolz waren.	Ihr Sohn geht zur Schule.
die Tochter	the daughter	1	89b2649a2066081a6dd1bc9c9a55b3b7	Die Tochter, die sich immer gewünscht hatte, Lehrerin zu werden.	Die Tochter hilft der Mutter.
das Wasser	the water	1	d5a3d86070428e1287e600b3300dc68c	Obwohl das Wasser im See kristallklar aussah, wurde davor gewarnt, es zu trinken, weil es nicht getestet worden war.	Das Wasser ist kalt.
das Geld	the money	1	75bba46a063efa11f2eddde5c4b068fb	Das Geld, das für das Projekt bereitgestellt worden war, reichte nicht aus.	Ich habe kein Geld.
die Frage	the question	1	b88712d05a412528ee274f4ab47d6e4b	Die Frage, ob man den Fortschritt aufhalten kann, wurde in der Diskussion so hitzig debattiert.	Das ist eine gute Frage.
die Antwort	the answer	1	e6a981166dfe21475fb0dd78d5c73ce0	Die Antwort auf diese komplizierte Frage konnte erst gefunden werden.	Ich kenne die Antwort.
und	and	1	357d4950fcabdc73e9a1c7bff7760b80	Er kaufte Brot und Butter und ging nach Hause, wo seine Frau und seine Kinder bereits auf ihn warteten.	Ich und du.
oder	or	1	5606beb71f365e8a6fedb85f3048c4a9	Ob wir mit dem Zug oder mit dem Auto fahren, hängt davon ab, ob es morgen regnet oder ob die Sonne scheint.	Tee oder Kaffee?
aber	but; however	1	e81bb68621da6629cdded6562b5b5f86	Sie wollte eigentlich zu Hause bleiben, aber als ihre Freundin anrief und sie überredete, ging sie doch zur Party.	Es ist kalt, aber schön.
denn	because; for	1	6cb984e49cd63687e35000d94467afd3	Er blieb zu Hause, denn er fühlte sich nicht wohl, und er wollte niemanden anstecken.	Ich bleibe hier, denn es regnet.
weil	because	1	d26b2f1fcc7495ee47054cafd1978226	Weil der Zug Verspätung hatte und sie deshalb den Anschlussflug verpasste, kam sie einen Tag zu spät an.	Ich bin müde, weil ich spät ins Bett gegangen bin.
wenn	if; when; whenever	1	99a0863912d903a3e9fa31bd4cb83320	Wenn du mehr Zeit hättest und wenn das Wetter besser wäre, könnten wir einen langen Spaziergang durch den Wald machen.	Wenn es regnet, bleibe ich zu Hause.
dass	that (conjunction)	1	376e9db76e28b21e10581ebedf4aaf71	Es wurde berichtet, dass die Regierung beschlossen hat, dass neue Gesetze zum Umweltschutz verabschiedet werden sollen.	Ich weiß, dass du recht hast.
als	when (past); than	1	a99bbb46d5bbb6e08229e1fd26c5a2c6	Als er nach vielen Jahren in seine Heimatstadt zurückkehrte, war alles anders, als er es in Erinnerung hatte.	Als ich jung war, spielte ich viel.
wie	how; like; as	1	e3ad81d0ae9c3638ea7782430598712b	Er fragte sich, wie es möglich war, dass alles so schnell ging, wie es in dem Bericht beschrieben worden war.	Wie heißt du?
nicht	not	1	380fbbf7d6a14f32c176d6ec618b8bbf	Obwohl er versprochen hatte, nicht zu spät zu kommen, schaffte er es wieder nicht, pünktlich zu sein.	Ich verstehe das nicht.
auch	also; too	1	b228127f96a5bd519b898f1246afa81e	Auch wenn viele Menschen anderer Meinung sind, glaube ich.	Ich komme auch mit.
noch	still; yet	1	fc43371b8d7ffb1986631774aca29f7a	Obwohl sie noch nie zuvor in Deutschland gewesen war, sprach sie die Sprache so gut.	Er schläft noch.
schon	already	1	a369421e47acafb268c075a3b67e8bc2	Als wir ankamen, hatte der Film schon begonnen, sodass wir uns leise hinsetzen mussten, um die anderen nicht zu stören.	Ich habe schon gegessen.
sehr	very	1	eca69c093f3bbd7aa06b1c56c9277976	Die Aufgabe war sehr viel schwieriger, als wir erwartet hatten, weshalb wir sehr lange brauchten, um sie zu lösen.	Das Essen ist sehr gut.
